id,category,sender,expected_verdict,scam_type,lure,message
scam-bank-001,banca,CaixaBank,estafa,smishing,account_block,"CaixaBank: Su cuenta ha sido suspendida por motivos de seguridad. Para reactivar su acceso inmediatamente verifique sus datos en https://caixabank-seguridad.top/acceso"
scam-bank-002,banca,+34 612 889 001,estafa,smishing,unauthorized_access,"BBVA: Detectado acceso no autorizado desde nuevo dispositivo en Madrid. Si no fue usted, cancele la operacion de inmediato en https://bbva-verificar.xyz/seguridad"
scam-bank-003,banca,Santander,estafa,smishing,card_block,"Banco Santander: Su tarjeta de credito ha sido bloqueada preventivamente tras intento de cargo sospechoso. Desbloquee aqui: https://santander-tarjetas.online/login"
scam-bank-004,banca,Sabadell,estafa,smishing,regulatory_update,"Banco Sabadell: Actualizacion obligatoria del sistema de seguridad digital PSD2 antes de 24h para no perder acceso a su banca online: https://sabadell-psd2.click/activar"
scam-bank-005,banca,Bankinter,estafa,smishing,fraudulent_charge,"Bankinter: Cargo retenido de 849,00 EUR en AMAZON ESPANA. Si no reconoce este movimiento, pulse para rechazarlo: https://bankinter-anulaciones.icu/cargo"
scam-bank-006,banca,ING,estafa,smishing,signature_expired,"ING Direct: Su firma digital ha caducado. No podra realizar transferencias ni pagos con tarjeta hasta renovarla en https://ing-direct-renovar.top/firma"
scam-bank-007,banca,Abanca,estafa,smishing,transfer_cancel,"ABANCA: Se ha emitido una transferencia saliente de 1.250 EUR a favor de tercero. Para detenerla confirme sus credenciales en https://abanca-verificacion.site/stop"
scam-bank-008,banca,Unicaja,estafa,smishing,contract_expiration,"Unicaja Banco: Aviso urgente, su contrato de banca a distancia expira hoy. Evite el bloqueo total actualizando su identificacion en https://unicaja-clientes.cfd/acceso"
scam-bank-009,banca,Kutxabank,estafa,smishing,compliance,"Kutxabank: Por nueva normativa bancaria europea debe sincronizar su numero de movil con su cuenta en https://kutxabank-segura.top/movil"
scam-bank-010,banca,Ibercaja,estafa,smishing,failed_logins,"Ibercaja: Hemos detectado intentos fallidos de conexion en su cuenta. Bloqueo temporal activado. Desbloquee en https://ibercaja-seguridad.online/desbloqueo"
scam-bank-011,banca,Openbank,estafa,smishing,account_issue,"Openbank: Su cuenta presenta una irregularidad en el saldo. Acceda para revisar los movimientos bloqueados: https://openbank-revision.xyz/login"
scam-bank-012,banca,+34 633 112 244,estafa,vishing,fake_fraud_alert,"CaixaBank informa: Hemos bloqueado una compra de 1.499 EUR en Apple Store. Si no ha sido usted llame inmediatamente a nuestro departamento de fraude."
scam-bank-013,banca,BBVA,estafa,smishing,card_renewal,"BBVA: Su tarjeta expira manana por desactualizacion de chip de seguridad. Solicite la nueva tarjeta sin coste en https://bbva-renovacion.top/tarjetas"
scam-bank-014,banca,Santander,estafa,smishing,identity_verification,"Santander: Se requiere verificacion de identidad inmediata tras cambio de numero de telefono. Valide en https://santander-particulares.xyz/identificar"
scam-bank-015,banca,CaixaBankNow,estafa,smishing,password_reset,"CaixaBankNow: Acceso denegado por seguridad. Su clave de acceso ha sido reseteada. Ingrese su nueva clave en https://caixabanknow-acceso.icu/clave"
scam-bank-016,banca,+34 670 998 877,estafa,smishing,account_closure,"Banco Sabadell: Notificacion urgente. Su cuenta sera dada de baja por inactividad. Inicie sesion para conservarla en https://sabadell-online.site/acceso"
scam-bank-017,banca,Bankinter,estafa,smishing,sepa_charge,"Bankinter Empresas: Se ha recibido un cargo SEPA no autorizado por 3.200 EUR. Revoque la orden antes de las 20h en https://bankinter-empresas.top/sepa"
scam-bank-018,banca,ING,estafa,smishing,audit,"ING: Su cuenta ha sido seleccionada para una comprobacion antifraude rutinaria. Complete el formulario en https://ing-verificacion.online/datos"
scam-bank-019,banca,Abanca,estafa,smishing,card_duplication,"Abanca: Detectamos duplicidad de su tarjeta de debito. Ingrese su PIN y numero para anularla en https://abanca-anulacion.xyz/tarjeta"
scam-bank-020,banca,CaixaBank,estafa,smishing,2fa_activation,"CaixaBank: Estimado cliente, active su nuevo sistema de doble factor en 24 horas para seguir operando: https://caixabank-2fa.top/login"
