id,category,expected_type,message
spam-premio-001,premios_sorteos,spam,"¡Enhorabuena! Has sido seleccionado como ganador de una tarjeta regalo de 500€ en El Corte Inglés. Reclama tu premio aquí: https://premios-espana.com/corte"
spam-premio-002,premios_sorteos,spam,"Tu número de teléfono ha sido premiado en el sorteo semanal con un iPhone 16 Pro. Introduce tu código GANADOR2026 para recibirlo."
spam-premio-003,premios_sorteos,spam,"Felicidades, eres el afortunado ganador de 1.000€ en metálico de nuestro sorteo de fidelidad. Llama al 905404040 para confirmar tu dirección."
spam-premio-004,premios_sorteos,spam,"Aviso de entrega de premio: Tienes un paquete especial con un Smart TV 55 pulgadas pendiente de reclamar. Envía PREMIO al 25555."
spam-premio-005,premios_sorteos,spam,"¡Última oportunidad! Tu boleto digital 84920 ha resultado premiado en la Lotería Virtual Europea. Consulta tu importe en https://sorteos-digitales.com/loteria"
spam-premio-006,premios_sorteos,spam,"Has ganado un crucero de 7 días por el Mediterráneo para 2 personas con todo incluido. Confirma tu plaza antes de las 20:00 respondiendo SI."
spam-premio-007,premios_sorteos,spam,"Enhorabuena: Tu línea ha sido seleccionada entre 10.000 números para recibir un cheque regalo de 250€ de Amazon. Entra en https://cheques-promo.club/amazon"
spam-premio-008,premios_sorteos,spam,"¡Premio directo! Has ganado un bono de compra de 150€ en Carrefour. Haz clic en https://promociones-super.top/carrefour para activarlo hoy mismo."
spam-premio-009,premios_sorteos,spam,"Atención usuario: Tienes pendiente de canjear un vale regalo de 300€ en MediaMarkt. Válido solo durante las próximas 24 horas."
spam-premio-010,premios_sorteos,spam,"¡Felicidades! Tu número ha obtenido el 2º premio del Sorteo Extraordinario de Verano. Pulsa en https://sorteos-esp.net/reclamar para verificar tu identidad."
spam-premio-011,premios_sorteos,spam,"Notificación oficial: Eres el finalista para ganar un coche nuevo o 15.000€ en efectivo. Envía GANAR al 797788 para participar en la gala."
spam-premio-012,premios_sorteos,spam,"Tu código promocional PROMO-IPHONE ha sido activado. Eres el ganador garantizado de un dispositivo Apple. Reclama en https://apple-ganadores.site/claim"
spam-premio-013,premios_sorteos,spam,"¡Has ganado! Recibe gratis una cafetera Nespresso de última generación por responder a nuestro mensaje. Envía CAFETERA al 2244."
