id,category,sender,expected_verdict,lure,message
legit-bank-001,banca,CaixaBank,no_puedo_confirmarlo,purchase_receipt,"CaixaBank: Has realizado una compra de 34,50 EUR en MERCADONA con tu tarjeta terminada en *4920. Si reconoces la operacion no necesitas hacer nada."
legit-bank-002,banca,BBVA,no_puedo_confirmarlo,legit_otp,"BBVA: Tu clave de un solo uso para confirmar la transferencia de 120,00 EUR es 489201. Recuerda: ningun empleado de BBVA te pedira jamas esta clave."
legit-bank-003,banca,Santander,no_puedo_confirmarlo,appointment,"Banco Santander: Recordatorio de tu cita presencial con tu gestor manana a las 11:30 en la oficina de Calle Alcala 42. Para cambiarla entra en https://www.bancosantander.es"
legit-bank-004,banca,Sabadell,no_puedo_confirmarlo,monthly_statement,"Banco Sabadell: Ya tienes disponible tu extracto mensual consolidado de julio en la app y en https://www.bancosabadell.com"
legit-bank-005,banca,Bankinter,no_puedo_confirmarlo,payroll_deposit,"Bankinter: Se ha abonado tu nomina de 1.850,00 EUR en la cuenta *8831. Consulta tus movimientos en la app oficial."
legit-bank-006,banca,ING,no_puedo_confirmarlo,scheduled_transfer,"ING: Tu transferencia periodica mensual a favor de AHORRO por 200,00 EUR se ha emitido correctamente."
legit-bank-007,banca,Abanca,no_puedo_confirmarlo,bizum_received,"ABANCA: Has recibido un Bizum de 25,00 EUR de MARIA G. Concepto: Cena viernes. Saldo disponible actualizado."
legit-bank-008,banca,Openbank,no_puedo_confirmarlo,card_delivery,"Openbank: Tu nueva tarjeta de debito ha sido enviada por correo postal a tu domicilio. La recibiras en un plazo de 3 a 5 dias laborables."
legit-bank-009,banca,Unicaja,no_puedo_confirmarlo,tax_debit_notice,"Unicaja Banco: Te informamos de que el cargo del recibo de IBI por 184,20 EUR se cargara en tu cuenta el proximo 01/09."
legit-bank-010,banca,Ibercaja,no_puedo_confirmarlo,satisfaction_survey,"Ibercaja: Hemos atendido tu consulta telefonica. Valoranos del 1 al 10 respondiendo gratuitamente a este SMS."
legit-bank-011,banca,Kutxabank,no_puedo_confirmarlo,login_notification,"Kutxabank: Aviso de seguridad. Se ha iniciado sesion en tu banca online desde un navegador habitual. Si has sido tu, ignora este mensaje."
legit-bank-012,banca,CaixaBank,no_puedo_confirmarlo,bill_paid,"CaixaBank: Tu recibo de comunidad de propietarios por 65,00 EUR ha sido cargado con exito."
legit-bank-013,banca,BBVA,no_puedo_confirmarlo,manager_notice,"BBVA: Tu gestor asignado Carlos Ruiz estara ausente por vacaciones del 1 al 15 de agosto. Para cualquier gestion acude a tu oficina o web oficial https://www.bbva.es"
legit-bank-014,banca,Santander,no_puedo_confirmarlo,signature_otp,"Santander: Tu codigo de firma electronica para autorizar la contratacion del deposito es 930184. No compartas este codigo con nadie."
legit-bank-015,banca,ING,no_puedo_confirmarlo,card_request,"ING: Hemos recibido tu solicitud de duplicado de tarjeta. Te avisaremos en cuanto salga a reparto."
legit-bank-016,banca,Bankinter,no_puedo_confirmarlo,mortgage_debit,"Bankinter: Se ha cargado la cuota de tu hipoteca por 540,22 EUR correspondiente al mes en curso."
legit-bank-017,banca,Sabadell,no_puedo_confirmarlo,auth_code,"Banco Sabadell: Clave para acceder a tu contrato digital: 719402. Valida solo durante 5 minutos."
legit-bank-018,banca,Abanca,no_puedo_confirmarlo,terms_update,"ABANCA: Recuerda que a partir del 1 de octubre entran en vigor las nuevas condiciones de tu cuenta que puedes consultar en tu buzon de correspondencia."
legit-bank-019,banca,CaixaBank,no_puedo_confirmarlo,bizum_sent,"CaixaBank: Operacion Bizum enviada correctamente a PABLO M. por importe de 15,00 EUR."
legit-bank-020,banca,BBVA,no_puedo_confirmarlo,card_purchase,"BBVA: Pago con tarjeta de 12,90 EUR en CINES CALLAO autorizado. Saldo restante: 1.420,10 EUR."
legit-bank-021,banca,Openbank,no_puedo_confirmarlo,wire_transfer,"Openbank: Tu transferencia internacional hacia FR763000... por 350,00 EUR ha sido procesada con exito."
legit-bank-022,banca,Unicaja,no_puedo_confirmarlo,device_otp,"Unicaja: Clave 552109 para autorizar el alta de dispositivo movil en tu banca digital. No la facilites a terceros."
legit-bank-023,banca,Santander,no_puedo_confirmarlo,subscription_debit,"Santander: Cargo en cuenta de 42,00 EUR por suscripcion anual. Consulta el detalle en la app Santander."
legit-bank-024,banca,Kutxabank,no_puedo_confirmarlo,limit_alert,"Kutxabank: Has superado el 80% del limite mensual establecido en tu tarjeta de credito. Puedes ampliarlo desde la app."
legit-bank-025,banca,Ibercaja,no_puedo_confirmarlo,transfer_delivered,"Ibercaja: Tu transferencia nacional por 80,00 EUR a favor de LUCIA R. ha llegado a su destino."
legit-paqueteria-026,paqueteria,CORREOS,no_puedo_confirmarlo,citypaq_pickup,"Correos: Tu envio PQ892014 ya esta disponible en Citypaq Estacion Sur. Codigo de recogida: 8492. Tienes 5 dias para retirarlo. https://www.correos.es"
legit-paqueteria-027,paqueteria,SEUR,no_puedo_confirmarlo,out_for_delivery,"SEUR: Tu pedido de Amazon con ref SEUR99482 esta en reparto. La entrega estimada es hoy entre las 11:30 y las 13:30 en tu direccion. https://www.seur.com"
legit-paqueteria-028,paqueteria,DHL,no_puedo_confirmarlo,delivered,"DHL Express: Tu envio con seguimiento 4920194820 ha sido entregado en el buzon / conserjeria. Gracias por confiar en DHL."
legit-paqueteria-029,paqueteria,CorreosExpress,no_puedo_confirmarlo,delivery_window,"Correos Express: Entregaremos tu envio 320194820 hoy antes de las 19:00h. Si no vas a estar en casa puedes modificarlo en https://www.correosexpress.com"
legit-paqueteria-030,paqueteria,GLS,no_puedo_confirmarlo,transit,"GLS: Tu paquete 8940281 ha salido de nuestras instalaciones centrales y llegara manana a destino. Sigue el envio en https://www.gls-spain.es"
legit-paqueteria-031,paqueteria,MRW,no_puedo_confirmarlo,branch_pickup,"MRW: Tenemos tu envio 048291 disponible en la franquicia de Calle Mayor 12. Horario de 09:00 a 14:00 y 16:30 a 20:00."
legit-paqueteria-032,paqueteria,Celeritas,no_puedo_confirmarlo,parcel_shop,"Celeritas: Tu paquete de Zalando ha llegado al Punto Celeritas 'Papeleria Sol'. Muestra tu DNI y el codigo CEL-4820 para recogerlo."
legit-paqueteria-033,paqueteria,CORREOS,no_puedo_confirmarlo,missed_delivery,"Correos: El envio certificado CD9028104 no pudo ser entregado por ausencia. Puedes recogerlo en tu oficina de referencia a partir de manana con el aviso de llegada."
legit-paqueteria-034,paqueteria,FedEx,no_puedo_confirmarlo,delivery_receipt,"FedEx: Shipment 784920192 has been delivered. Signed for by: J. GARCIA. Track at https://www.fedex.com"
legit-paqueteria-035,paqueteria,SEUR,no_puedo_confirmarlo,pickup_confirmed,"SEUR: Tu paquete ha sido entregado en el punto SEUR Pickup mas cercano por peticion tuya. Tienes 10 dias para recogerlo."
legit-paqueteria-036,paqueteria,CORREOS,no_puedo_confirmarlo,package_admitted,"Correos: Aviso de admision. Hemos admitido tu envio PA849201 en la oficina de origen. Destino: Barcelona."
legit-paqueteria-037,paqueteria,GLS,no_puedo_confirmarlo,delivery_survey,"GLS: Entrega completada con exito para el envio 9948201. Valora nuestro servicio de reparto respondiendo del 1 al 5."
legit-paqueteria-038,paqueteria,CorreosExpress,no_puedo_confirmarlo,conserje_delivery,"Correos Express: El envio 8492014 ha sido depositado en tu porteria segun tus instrucciones de entrega."
legit-paqueteria-039,paqueteria,MRW,no_puedo_confirmarlo,driver_assigned,"MRW: Envio en reparto. Repartidor asignado: Roberto. Entrega prevista a lo largo de la manana en tu domicilio."
legit-paqueteria-040,paqueteria,DHL,no_puedo_confirmarlo,official_tracking,"DHL Parcel: Tu paquete de El Corte Ingles esta en camino. Consulta el estado en tiempo real en https://www.dhl.com/es-es/home.html"
legit-administracion-041,administracion_publica,DGT,no_puedo_confirmarlo,dgt_appointment,"DGT: Recordatorio de cita para renovacion del permiso de conducir el 24/08 a las 10:15 en Jefatura Provincial de Madrid. Anulaciones en https://sede.dgt.gob.es"
legit-administracion-042,administracion_publica,AEAT,no_puedo_confirmarlo,aeat_notification,"Agencia Tributaria: Se ha emitido una notificacion electronica en su direccion electronica habilitada (DEHú). Acceda a la sede oficial https://sede.agenciatributaria.gob.es con su certificado digital o Cl@ve."
legit-administracion-043,administracion_publica,Seg-Social,no_puedo_confirmarlo,seg_social_appointment,"Seguridad Social: Confirmacion de cita presencial en el Centro de Atencion e Informacion de la Seguridad Social (CAISS) para el dia 02/09 a las 09:30."
legit-administracion-044,administracion_publica,CitaPreviaDNI,no_puedo_confirmarlo,dni_appointment,"Policia Nacional: Cita para renovacion de DNI/Pasaporte confirmada para el 28/08/2026 a las 12:40 en Comisaria Centro. Tasa oficial: 12,00 EUR en efectivo o pago telematico."
